iter,acc,nmi,ari,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss
0,0.97277,0.93048,0.94046,0.9995377741256227,0.9982786388728482,0.9624572027944349,0.9085017563777228,19471,50529,0.0
140,0.98221,0.95181,0.96073,0.9991571742350718,0.9968364211895349,0.960708033456526,0.9001792260052478,39154,30846,2.600858305181776
280,0.98253,0.95257,0.96146,0.9991042102120036,0.9966283251970899,0.9552582851528549,0.8883028371492123,43537,26463,1.7265076922518867
420,0.97811,0.94378,0.95193,0.9990803621958121,0.9964729367551103,0.945890113076254,0.874192465649164,42408,27592,1.5996976809842245
560,0.97694,0.94151,0.94945,0.9990922500851016,0.9964698789856278,0.9393098129940235,0.8623559815518175,44065,25935,1.4029513414416994
700,0.97579,0.9391,0.94676,0.999070484481625,0.9964145809552535,0.9361167973427059,0.8555790360396494,44109,25891,1.3803709047181265
840,0.97504,0.93915,0.94551,0.9990957182257991,0.9965020805971135,0.93374990297291,0.8510065552740236,44234,25766,1.2752236153398242
