iter,acc,nmi,ari,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss
0,0.97277,0.93048,0.94046,0.9995377741256227,0.9982786388728482,0.9624572027944349,0.9085017563777229,19471,50529,0.0
140,0.98291,0.95339,0.96234,0.999235379720297,0.9971062231458871,0.9604508266286451,0.8989800701768453,40543,29457,2.593621578386852
280,0.98241,0.95232,0.96117,0.9988786158916148,0.995855562182355,0.9550638686131386,0.8881067550139514,43696,26304,1.7150260967867714
420,0.97984,0.94693,0.95572,0.999076148462942,0.9964397766273784,0.9486574542186271,0.8762790451294432,43297,26703,1.587789375441415
560,0.97826,0.94392,0.95207,0.9989962129853538,0.9961726589443909,0.9435144844454636,0.8683143206689649,43834,26166,1.394327790396554
700,0.97657,0.94041,0.9485,0.99902763330469,0.9962796875813389,0.9380479478625184,0.8578629078578697,44222,25778,1.3797527849674225
