iter,acc,nmi,ari,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss
0,0.97277,0.93048,0.94046,0.9995377741256227,0.9982786388728482,0.9624572027944349,0.9085017563777228,19471,50529,0.0
140,0.98267,0.95271,0.96171,0.999215090517787,0.9970294396755989,0.9612522537288969,0.9007477821891521,39495,30505,2.6087440933500017
280,0.98251,0.95282,0.96146,0.9989673451591435,0.9961360785051133,0.9553797827650153,0.8878214481350901,43577,26423,1.7087479208196912
420,0.97859,0.94468,0.95297,0.9990419889244573,0.9963248362079595,0.946402970260633,0.8741987873714356,42797,27203,1.567176559993199
560,0.97644,0.94077,0.94841,0.999011244222677,0.9961768869485201,0.9394213722605711,0.8637677562929108,43489,26511,1.4284807226487568
700,0.97573,0.93894,0.9467,0.9990941208442794,0.9965039434391966,0.935807150595883,0.8551673221902449,44156,25844,1.396485664163317
840,0.97526,0.93835,0.94586,0.9990118355155299,0.9961839800246981,0.9337337573116633,0.8490210427227598,44527,25473,1.2734298203672683
980,0.97317,0.93615,0.94161,0.9990818908569765,0.9964371586208218,0.9275145010456536,0.8409434848861073,44657,25343,1.2847839717354093
