iter,acc,nmi,ari,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,loss
0,0.97277,0.93048,0.94046,0.9995377741256227,0.9982786388728482,0.9624572027944349,0.9085017563777223,19471,50529,0.0
140,0.9746,0.93786,0.9448,0.9994930174678527,0.9981962481351988,0.9634184212160736,0.9144325826866542,21697,48303,0.14173567598419531
280,0.97616,0.94197,0.94817,0.999466808850973,0.9980439243869608,0.9621653750314336,0.9125327943520448,26257,43743,0.07366868595459632
420,0.97714,0.94417,0.95031,0.9994895843302389,0.9981013592925888,0.9590199984477272,0.9054695456774188,31347,38653,0.059428435670478
560,0.97867,0.94674,0.95352,0.999470545616675,0.9979901011783954,0.9567919329307616,0.8992021343981841,35886,34114,0.05243868037526097
700,0.98,0.94941,0.95635,0.9994207424570594,0.9978124816024596,0.9545454545454546,0.8936219427996519,39706,30294,0.04826623914497239
840,0.98143,0.9517,0.95934,0.9993945039590125,0.997704077356969,0.9529194382852919,0.8885852221306083,42940,27060,0.0444854238735778
980,0.98216,0.95306,0.96089,0.9993188459932764,0.9974530635608527,0.9502633835599656,0.8818864897421708,45511,24489,0.04178116513150079
1120,0.98287,0.95444,0.96241,0.9992451880739716,0.9972101927729937,0.9478615619115933,0.8767731735383115,47694,22306,0.03909715448639223
1260,0.98331,0.95533,0.96335,0.9991504682538077,0.9968970142868735,0.9452361266475366,0.870811190241106,49439,20561,0.03788532401834215
1400,0.98367,0.95597,0.9641,0.9990396676074005,0.9966020456164008,0.9423482293423272,0.8648895049890681,51024,18976,0.03465511467573898
1540,0.984,0.9567,0.96481,0.9988947960136435,0.9961916206737782,0.9393870212887392,0.8583365372643632,52479,17521,0.034082747636629
1680,0.98434,0.95739,0.96555,0.9987861584716802,0.9959248927525151,0.9373290377484651,0.8540400490549893,53549,16451,0.031749144063464234
1820,0.98429,0.9572,0.9654,0.9987557409745476,0.9958745833193213,0.9327643494690208,0.8449117822424291,54651,15349,0.03113071821363909
1960,0.98449,0.95755,0.96583,0.9987017436304297,0.9957385479446015,0.930266144006602,0.839817546415903,55459,14541,0.029246283801538604
2100,0.98457,0.95779,0.96602,0.9986526733796625,0.9956463519472174,0.9261330194231902,0.8321516640361859,56408,13592,0.028900841317538704
2240,0.9848,0.95819,0.96651,0.9985943457558027,0.9954905442853913,0.9248108810269733,0.8292110060435092,56913,13087,0.027480899396219425
2380,0.98474,0.95816,0.96639,0.9985467128027682,0.99540465064745,0.9193442622950819,0.8198847618431714,57800,12200,0.027291117063058274
2520,0.98504,0.95881,0.96702,0.9985019629451064,0.9953125500402606,0.919490103991949,0.8198954099179545,58076,11924,0.02563436305416482
2660,0.98521,0.95929,0.96739,0.9984709480122325,0.9952442109400388,0.9151705565529623,0.8129982575418838,58860,11140,0.025913387816399337
2800,0.98524,0.95929,0.96746,0.9984595070422535,0.9952065959427692,0.9137994143484627,0.8102461400369986,59072,10928,0.024092187426452125
2940,0.98531,0.9595,0.96761,0.9983766505447426,0.9949535526018695,0.909144139748219,0.8025324716485818,59753,10247,0.024285290164074727
3080,0.98527,0.95932,0.96752,0.9983645132758131,0.9949317003180851,0.9074312927869829,0.7989106309068512,59921,10079,0.022876663539292557
3220,0.98531,0.95947,0.96761,0.9982658100318761,0.9947257071473513,0.902359039458373,0.7909615402526002,60547,9453,0.022866063937544822
3360,0.98547,0.9598,0.96795,0.9982367965724643,0.9946331948461553,0.9023081052066559,0.790590791502984,60685,9315,0.02184052596400891
3500,0.98553,0.95991,0.96807,0.9981865115671155,0.9944964079390982,0.8974067333939946,0.78309558909729,61208,8792,0.021683581851954972
3640,0.98559,0.96002,0.96819,0.9981741412758188,0.9944707570423106,0.8964083612426377,0.7808392035887751,61341,8659,0.0206927150887038
3780,0.98557,0.96001,0.96816,0.9980887902690271,0.9942097756077134,0.8919966097590507,0.7744001925585492,61741,8259,0.02119546156110508
3920,0.98563,0.96017,0.96829,0.9981074392196826,0.9943058573765396,0.8913070057464237,0.77317201776867,61821,8179,0.019868802186101674
4060,0.98571,0.96041,0.96847,0.9980886297563405,0.9942221371880083,0.8861904146751066,0.7660817205914277,62259,7741,0.02024075074254402
4200,0.98576,0.9605,0.96856,0.99805784726012,0.9941133423738038,0.8862042088854248,0.7656657583077376,62302,7698,0.01935968247375318
4340,0.98577,0.96054,0.96858,0.998036398467433,0.9940620185795949,0.8813858695652174,0.758702301376269,62640,7360,0.019175188123647657
4480,0.98587,0.96076,0.96881,0.9980527046655281,0.9941280936150952,0.8820247652741869,0.7588732440003204,62651,7349,0.018685830191576054
4620,0.98587,0.96078,0.9688,0.9980172263375792,0.9940127942671932,0.8758085381630013,0.750383403754001,63043,6957,0.018379830728684154
4760,0.98594,0.96093,0.96897,0.9980319022299817,0.9940601962880985,0.8770550393137956,0.7512162202029831,63005,6995,0.0182208192933883
4900,0.98594,0.96095,0.96896,0.9979483942239407,0.9938121267383025,0.8712886209495102,0.743809264711187,63365,6635,0.017970853026158043
5040,0.98601,0.96114,0.96912,0.9979157455946441,0.9937452068216049,0.8729754049190162,0.745281036539458,63332,6668,0.01754307649763567
5180,0.98601,0.96112,0.96912,0.9978799918340426,0.9935977012106233,0.8664768232874546,0.7367292872049787,63679,6321,0.01754291160032153
5320,0.98601,0.96111,0.96912,0.997894406033941,0.9936397808542836,0.8671383647798742,0.7371603488228183,63640,6360,0.016670533063422355
5460,0.98604,0.96119,0.96918,0.9978255428321131,0.9934566783717736,0.8620803159973667,0.729975810020889,63924,6076,0.01722762101729001
5600,0.98611,0.96138,0.96934,0.9978547828946338,0.9935418093853114,0.8639400358481343,0.7328936672027717,63863,6137,0.016126508179253766
5740,0.98604,0.96117,0.96918,0.9977544560013722,0.9932999497798966,0.8581644815256257,0.7234553179468992,64127,5873,0.01651676862633654
5880,0.98604,0.96115,0.96919,0.9977850223837527,0.9933605524437749,0.8582583602104906,0.7242283138936343,64109,5891,0.01606609620419996
6020,0.98613,0.96137,0.96937,0.9977139480273082,0.9931284532283932,0.8553624714762156,0.7198507270342639,64303,5697,0.01599711062652724
6160,0.9862,0.96154,0.96953,0.9977146943598035,0.9931300022332576,0.8557082452431289,0.7205151469001329,64324,5676,0.01590735824512584
6300,0.98607,0.96123,0.96925,0.9977022914984786,0.9930885780978037,0.8520042949176807,0.7149824120291313,64412,5588,0.015379855815055115
6440,0.98619,0.96151,0.9695,0.9977202586808517,0.9931483901748263,0.8514223591230295,0.7144678991873735,64481,5519,0.01572295878348606
6580,0.98619,0.96155,0.96951,0.9977218485571707,0.9931523366710213,0.8502009499451955,0.7128968571560792,64526,5474,0.014955099605556046
6720,0.98616,0.96147,0.96945,0.9976951040297006,0.9930813625158688,0.8468720821661998,0.7080273992621486,64645,5355,0.015042546597708548
6860,0.98619,0.96152,0.96951,0.9977113166115115,0.9931357249388927,0.8464566929133859,0.7072778016328901,64666,5334,0.014742236614360341
7000,0.98613,0.9614,0.96939,0.9976842202769672,0.9930634885121928,0.842930935527071,0.7019899952863146,64773,5227,0.014915433426254562
7140,0.98614,0.96144,0.96943,0.9976854352153317,0.9930670803542098,0.8420951280569998,0.7008661462567644,64807,5193,0.014104634293887232
7280,0.98616,0.96148,0.96945,0.9976734511501779,0.993029810446383,0.8395134392780067,0.6968505635748081,64903,5097,0.01472099095449916
7420,0.98619,0.96154,0.96951,0.997629054855049,0.9929092884739684,0.8389142064592827,0.696492197792122,64953,5047,0.01390934872906655
7560,0.9862,0.96164,0.96954,0.9976177302348457,0.9928909416770711,0.8356969205834684,0.6917373659547537,65064,4936,0.014440107432061007
7700,0.98631,0.96191,0.96979,0.9976027660391855,0.9928265550613189,0.8371573604060913,0.6943787056744984,65075,4925,0.013671481263424668
7840,0.98623,0.9617,0.96961,0.9975899545622007,0.9928206829629143,0.8338138385502472,0.6887504480286211,65144,4856,0.014167022445638265
7980,0.9863,0.96189,0.96976,0.9975455981837427,0.9926799330331533,0.833922261484099,0.6896599753514099,65189,4811,0.013467866378570241
8120,0.98626,0.96176,0.96967,0.9975179641177282,0.9926123950713266,0.8309025575988164,0.6844561558281874,65269,4731,0.013733083694907172
8260,0.98629,0.96184,0.96973,0.997533285326878,0.992659109035535,0.8311139294018178,0.6854289455173642,65269,4731,0.013196341317546155
