iter,acc,nmi,ari,acc_unconf,nmi_unconf,acc_conf,nmi_conf,nb_unconf,nb_conf,fr,fd,loss
1820,0.55824,0.58085,0.41986,0.6604224261860002,0.7176721352515546,0.42570102884809363,0.3938791394491767,45215,24785,0.67143,0.73215,0.037853849812277726
1960,0.55803,0.58115,0.41993,0.6591618662327954,0.716235738381165,0.4236071457704544,0.39284046747982565,45482,24518,0.66001,0.72279,0.03719989992678165
2100,0.5583,0.58195,0.42047,0.6589062397336779,0.7164518157752425,0.42241485559344316,0.39206612077540054,45659,24341,0.65837,0.70149,0.03640540351292917
2240,0.55844,0.58252,0.4208,0.6579894041467722,0.7157006842527525,0.4210417270956781,0.39158340807365344,45867,24133,0.63298,0.68487,0.036026167736521786
2380,0.55916,0.58334,0.42182,0.6569964388083036,0.7148913460733128,0.42099549022882915,0.3914173222837812,46052,23948,0.58925,0.69891,0.03544824341578143
2520,0.55893,0.58357,0.42154,0.6550280535174795,0.7135407301358739,0.42011834319526625,0.39097413719127455,46340,23660,0.68981,0.71276,0.035237520400966914
2660,0.56026,0.58467,0.42312,0.6559517397393084,0.7147818073525048,0.42069111723553104,0.3905339311191908,46415,23585,0.58766,0.68256,0.03463793378323317
2800,0.55933,0.5848,0.42231,0.6533747589457896,0.7126471848430809,0.42006000857265324,0.39118304057940906,46670,23330,0.69224,0.69128,0.03426063591614366
2940,0.56049,0.58554,0.42349,0.653364932957554,0.7133894693853574,0.4190122604040753,0.38960717728410493,46836,23164,0.61986,0.66889,0.033626857173762154
3080,0.56061,0.58643,0.4241,0.651513864707631,0.7119701253957701,0.4196576718190551,0.39110741397066273,47098,22902,0.7259,0.7101,0.033178467370037525
3220,0.56214,0.58775,0.42579,0.6510756330990091,0.7129498705447272,0.420604250834358,0.39089604146189333,47228,22772,0.63387,0.66782,0.03315119686137353
3360,0.56226,0.58835,0.42605,0.6506879622410923,0.7127013122762225,0.4182156958431303,0.3903925883470648,47459,22541,0.65417,0.65447,0.03307950492682202
3500,0.56286,0.58894,0.42666,0.6509943092333215,0.7131979070528521,0.4168640243085035,0.3885697288122877,47621,22379,0.65243,0.65382,0.032346773985773326
3640,0.56411,0.59042,0.4283,0.6514790176143258,0.7138694486161756,0.41674925668979185,0.38903147235197855,47802,22198,0.66553,0.64173,0.0324527052231133
3780,0.56404,0.59082,0.42836,0.6504049805317842,0.7136742121443317,0.41519137122832567,0.3884082259431756,48027,21973,0.74039,0.68718,0.031814339464264256
3920,0.56504,0.5918,0.42946,0.6516700184520972,0.7141996650915867,0.4144806358248725,0.3870250469427771,48233,21767,0.6506,0.64402,0.03203403917806489
4060,0.56546,0.59211,0.42963,0.6513007004566399,0.7138277765280001,0.41392399203814284,0.3854846988387161,48397,21603,0.66985,0.66045,0.03145206705001848
4200,0.567,0.59408,0.43185,0.6523341017618969,0.7147545822979703,0.41408292865147556,0.3874085953856602,48584,21416,0.64194,0.63249,0.031367988445396934
4340,0.56761,0.59473,0.43214,0.6532390660966787,0.7153017890929905,0.41318403298350825,0.38563767598413484,48656,21344,0.57036,0.57678,0.030947130346404655
4480,0.56946,0.59674,0.43469,0.6532486884810876,0.715669958612887,0.41373566227214315,0.38652678328750606,48989,21011,0.63211,0.63429,0.03087360214974199
